,start_time,end_time,p_values
437,1369146226.466797,1369146233.702148,0.0
438,1369146329.012696,1369146336.361572,0.0
439,1369146481.870118,1369146492.106445,0.0
440,1369146742.46875,1369146751.832885,0.0
441,1369146770.678833,1369146778.418945,0.0
442,1369146787.822022,1369146796.15039,0.0
443,1369147170.81836,1369147178.439941,0.0
444,1369147755.644043,1369147763.144531,0.0
445,1369147798.648438,1369147810.242187,0.0
446,1369147817.709473,1369147824.917724,0.0
447,1369147920.384766,1369147928.847656,0.0
448,1369148155.483399,1369148162.712402,0.0
449,1369148231.301758,1369148238.399902,0.0
450,1369148320.594239,1369148328.877929,0.0
451,1369148586.767578,1369148596.746093,0.0
452,1369148691.72168,1369148698.84082,0.0
453,1369148734.894776,1369148742.239624,0.0
454,1369148837.941162,1369148849.25,0.177279
455,1369148914.278565,1369148923.289611,0.0
456,1369148986.62793,1369148993.957763,1.0
457,1369149034.964356,1369149042.483886,1.0
458,1369149114.835938,1369149127.505859,0.0
459,1369149185.367676,1369149193.945312,1.0
460,1369149563.294922,1369149571.640136,1.0
461,1369149749.245118,1369149762.1875,1.0
462,1369149992.093995,1369149999.553222,0.0
463,1369150384.267578,1369150392.75,0.0
464,1369150407.388184,1369150419.529297,0.0
465,1369150430.381348,1369150438.394531,0.0
466,1369150506.300782,1369150514.828125,0.0
467,1369150525.381836,1369150532.493164,0.0
468,1369150567.91211,1369150575.678711,0.0
469,1369150722.898438,1369150730.134765,0.0
470,1369150765.71875,1369150772.862793,0.0
471,1369150790.053467,1369150797.71289,0.0
472,1369150799.699463,1369150811.276367,0.0
473,1369151279.012329,1369151286.466797,0.0
474,1369151668.252686,1369151676.815673,0.0
475,1369151923.972046,1369151931.920044,0.0
476,1369152355.142578,1369152363.559082,0.0
477,1369152624.139649,1369152634.25,0.0
478,1369152699.827393,1369152708.467285,0.0
479,1369153110.089051,1369153120.135986,0.0
480,1369153159.327149,1369153166.614257,0.0
481,1369153316.161133,1369153323.524414,0.0
482,1369153580.520508,1369153588.822265,0.0
483,1369154549.653321,1369154557.077148,0.0
484,1369154636.0,1369154644.797851,0.0
485,1369154925.989258,1369154933.699218,0.0
486,1369154950.348633,1369154958.1875,0.0
487,1369155082.416993,1369155089.988281,1.0
488,1369155492.970703,1369155502.053711,0.999604
489,1369155604.73462,1369155611.935547,0.036099
490,1369156088.637207,1369156095.75,0.043368
491,1369156254.970093,1369156265.988281,1.0
492,1369156549.574219,1369156557.029297,0.0
493,1369156819.656739,1369156828.44104,1.0
494,1369157208.897461,1369157218.078125,1.0
495,1369157281.748047,1369157288.90625,0.0
496,1369157423.360352,1369157433.75,1.0
497,1369157570.496094,1369157577.693237,1.0
498,1369157821.225586,1369157829.131836,0.014147
499,1369157856.209961,1369157864.113037,1.0
500,1369157924.115235,1369157931.78125,0.999923
501,1369158005.904297,1369158014.237793,1.0
502,1369158500.489258,1369158509.157714,0.0
503,1369159695.841065,1369159703.644897,0.944288
504,1369159936.71875,1369159944.048217,0.0
505,1369160120.334961,1369160129.80664,0.0
506,1369160168.382813,1369160176.207031,1.0
507,1369160291.751221,1369160298.839843,0.904617
508,1369160319.872559,1369160326.993164,7.1e-05
509,1369160496.282715,1369160504.476562,1.0
510,1369160935.859131,1369160944.837402,1.8e-05
511,1369161335.448243,1369161343.025756,1.0
512,1369161358.464844,1369161366.041992,0.917166
513,1369161485.335938,1369161494.738769,0.422648
514,1369161850.247071,1369161857.263672,1.0
515,1369161988.906006,1369161997.125,0.727058
516,1369162412.224854,1369162421.120117,1.0
517,1369162443.63086,1369162451.847656,1.0
518,1369162461.259766,1369162468.986328,1e-06
519,1369162929.865235,1369162938.091797,0.0
520,1369163114.933594,1369163123.708984,1.0
521,1369163209.192627,1369163217.302734,0.0
522,1369163352.654786,1369163360.653808,0.0
523,1369163426.375,1369163433.875,0.0
524,1369163743.955078,1369163751.284423,0.0
525,1369164046.184815,1369164053.36499,0.0
526,1369164132.081055,1369164140.861328,0.0
527,1369164318.958496,1369164329.36792,0.0
528,1369164375.524903,1369164384.048584,0.0
529,1369164568.570313,1369164577.311279,0.0
530,1369164706.767578,1369164714.156494,0.0
531,1369165155.652344,1369165165.129882,0.0
532,1369165972.44336,1369165980.470459,0.0
533,1369166032.551758,1369166040.73999,0.0
534,1369166633.101075,1369166640.316406,0.0
535,1369166806.994141,1369166814.061523,0.0
536,1369166872.820923,1369166879.875,0.0
537,1369166922.695313,1369166930.580078,0.0
538,1369167495.984864,1369167503.112304,0.0
539,1369167539.1875,1369167546.65332,0.0
540,1369168348.496094,1369168355.763672,0.0
541,1369169604.099121,1369169611.533203,0.0
542,1369169913.299805,1369169920.482422,0.0
543,1369170212.970703,1369170222.035644,0.0
544,1369170267.555664,1369170274.846191,0.0
545,1369170827.339844,1369170835.642578,0.0
546,1369171599.023194,1369171606.423828,0.0
547,1369172386.096436,1369172393.238647,0.0
548,1369172601.356934,1369172612.761596,0.0
549,1369173307.079102,1369173314.105468,0.461146
550,1369173406.635743,1369173416.074218,0.9999
551,1369173786.28302,1369173794.461914,6.9e-05
552,1369173854.756348,1369173862.740234,0.0
553,1369173876.908203,1369173885.83789,0.32568
554,1369174192.100586,1369174199.400146,0.0
555,1369174532.571289,1369174541.186523,0.0
556,1369175149.824219,1369175157.050293,0.0
557,1369175490.882325,1369175499.5,0.0
558,1369176250.452149,1369176257.474365,0.0
559,1369176543.867188,1369176552.429687,0.0
560,1369182224.604493,1369182231.992187,0.0
561,1369182578.217774,1369182585.367187,0.0
562,1369182957.825196,1369182965.236572,0.0
563,1369183087.624512,1369183095.320312,0.0
564,1369183098.964844,1369183105.986328,0.0
