GPStime,snr,ifo,label
1245784249.32,8.46,L1,Fast_Scattering
1251828919.547,8.204,L1,Fast_Scattering
1238242472.242,9.786,L1,Fast_Scattering
1244317825.414,9.55,L1,Fast_Scattering
1243263562.563,9.964,L1,Fast_Scattering
1243346021.602,8.882,L1,Fast_Scattering
1249765433.961,8.059,L1,Fast_Scattering
1243192578.047,9.815,L1,Fast_Scattering
1240603901.047,8.387,L1,Fast_Scattering
1253455343.195,8.384,L1,Fast_Scattering
1243255106.445,9.529,L1,Fast_Scattering
1244481681.695,8.0,L1,Fast_Scattering
1240774436.453,9.791,L1,Fast_Scattering
1240752445.797,10.1,L1,Fast_Scattering
1248965192.984,9.199,L1,Fast_Scattering
1243436729.266,19.06,L1,Fast_Scattering
1240773457.961,8.562,L1,Fast_Scattering
1243286022.961,8.176,L1,Fast_Scattering
1249648987.953,7.747,L1,Fast_Scattering
1243388937.688,9.461,L1,Fast_Scattering
1250380659.477,14.416,L1,Fast_Scattering
1244401160.742,8.32,L1,Fast_Scattering
1243430187.008,9.278,L1,Fast_Scattering
1246476092.813,9.526,L1,Fast_Scattering
1253020946.266,7.694,L1,Fast_Scattering
1238938027.148,10.145,L1,Fast_Scattering
1238246285.32,7.71,L1,Fast_Scattering
1243254619.766,10.8,L1,Fast_Scattering
1240332585.734,7.769,L1,Fast_Scattering
1243681152.164,9.784,L1,Fast_Scattering
1238762900.953,8.062,L1,Fast_Scattering
1240769535.352,7.539,L1,Fast_Scattering
1250440481.992,9.833,L1,Fast_Scattering
1242833392.563,7.588,L1,Fast_Scattering
1253460327.148,8.427,L1,Fast_Scattering
1243172184.766,8.635,L1,Fast_Scattering
1242671759.797,7.807,L1,Fast_Scattering
1240952333.57,7.848,L1,Fast_Scattering
1243616212.328,11.274,L1,Fast_Scattering
1243351677.711,8.194,L1,Fast_Scattering
1243449263.047,8.464,L1,Fast_Scattering
1253455657.773,8.507,L1,Fast_Scattering
1242135466.609,7.613,L1,Fast_Scattering
1243618305.141,8.177,L1,Fast_Scattering
1244394913.352,8.027,L1,Fast_Scattering
1252939636.695,8.237,L1,Fast_Scattering
1239397531.539,8.248,L1,Fast_Scattering
1240845327.961,10.826,L1,Fast_Scattering
1243181317.922,7.588,L1,Fast_Scattering
1248190239.828,8.178,L1,Fast_Scattering
1253043713.461,7.804,L1,Fast_Scattering
